"year","school_operations","school_id"
2022,3047288,86
2022,3834797,95
2022,1439897,6977
2022,4675846,80
2022,5350975,96
2022,3733267,36
2022,3338049,49
2022,4603923,103
2022,2262483,105
2022,1647974,30
2022,3810726,6930
2022,2541554,83
2022,3699279,101
2022,3614257,102
2022,5610632,54
2022,2986090,27
2022,6191511,78
2022,6943095,69
2022,4103489,38
2022,687358,854
2022,2267038,97
2022,6293916,28
2022,5003456,44
2022,1423142,31
2022,2768591,32
2022,3766791,6929
2022,2629557,91
2022,4432603,64
2022,2478073,45
2022,5589369,43
2022,4709044,37
2022,4915580,41
2022,2872276,53
2022,2066228,84
2022,2404740,65
2022,3581342,40
2022,2995905,58
2022,3402507,88
2022,2207943,26
2022,4214579,48
