latitude,longitude,place_name,place_lat,place_lng
-36.919501,174.770963,Royal Oak Liquor Centre,-36.9117276,174.77648850000003
-36.975523,174.871805,Puhinui Liquor,-36.982464199999995,174.87637189999998
-36.975523,174.871805,Thirsty Liquor,-36.9709642,174.8625453
-36.79409,174.65521,Super Liquor Hobsonville,-36.7977134,174.6486114
-36.89763,174.901771,Super Liquor Highland Park,-36.900588899999995,174.9050445
-36.89763,174.901771,Pakuranga Liquor Spot,-36.8997824,174.89921420000002
-36.89763,174.901771,Liquor Centre Highland Park,-36.8990073,174.9040517
-36.89763,174.901771,The Bottle-O Aviemore,-36.9020656,174.90453080000003
-36.800616,174.788477,Thirsty Liquor Belmont Peninsula,-36.808059199999995,174.79042769999998
-36.800616,174.788477,Hauraki Corner Cellars,-36.797112899999995,174.77845520000002
-36.800616,174.788477,Lacan Wines,-36.8073695,174.79247669999998
-36.86233,174.838551,Liquor Centre Mission Bay,-36.859591900000005,174.82998
-36.86233,174.838551,Liquor Spot kepa road,-36.8602932,174.83664969999998
-36.86233,174.838551,Black Bull Liquor Kohimarama,-36.8636173,174.8416168
-37.204552,174.905826,Liquorland Pukekohe,-37.202397,174.9049536
-37.204552,174.905826,Super Liquor Pukekohe ( Bottle Shop ),-37.200198199999996,174.90776499999998
-37.204552,174.905826,Kumar Liquor Pukekohe,-37.2098511,174.90900399999998
-37.204552,174.905826,Bottle-O Stadium Drive Pukekohe,-37.2010201,174.908832
-37.204552,174.905826,Thirsty Liquor Pukekohe,-37.2057351,174.90877179999998
-37.204552,174.905826,Franklin Liquor Centre,-37.2020255,174.90665679999998
-37.204552,174.905826,The Bottle Shop Pukekohe,-37.2016296,174.90443199999999
-37.251019,174.725723,Liquorland Waiuku,-37.249170899999996,174.73331489999998
-37.251019,174.725723,Super Liquor Waiuku,-37.2485302,174.729765
-37.251019,174.725723,Bottle-O Waiuku,-37.25078680000001,174.7277838
-37.251019,174.725723,Thirsty Liquor,-37.2514168,174.73070529999998
-37.251019,174.725723,Liquorland Dave & Maureen's Waiuku,-37.2490963,174.7332231
-36.779801,174.714953,Liquorland Glenfield,-36.7806834,174.7213772
-36.779801,174.714953,The Bottle-O Glenfield,-36.7836327,174.7224994
-36.898785,174.666886,Super Liquor Kelston,-36.9043497,174.6594744
-37.062945,174.950801,Liquor Heaven,-37.0661172,174.94354210000003
-37.062945,174.950801,Thirsty Liquor Papakura,-37.06228240000001,174.9435062
-37.062945,174.950801,Super Liquor Papakura,-37.0629215,174.9403087
-37.062945,174.950801,Liquorland Papakura,-37.064002599999995,174.94547989999998
-37.062945,174.950801,"Super Liquor Papakura, Wilson Place",-37.0581347,174.95935839999999
-37.062945,174.950801,Clevedon Road Liquor,-37.058397899999996,174.9533399
-37.062945,174.950801,Exit 458 Beverages,-37.0632243,174.9428541
-37.076585,174.936559,Super Liquor Karaka,-37.0733346,174.9266231
-37.076585,174.936559,Thirsty Liquor,-37.078996599999996,174.9369265
